"SKU","Price","Quantity","Product_ID","Product-ID-Type","Condition-Type","Condition-Note"
"2689125","54.99","35","B088HCXLRQ","ASIN","new","new"
"2689126","54.99","24","B08MTXC3NQ","ASIN","new","new"
"2833193","49.99","99","B0BXXW8HMM","ASIN","new","new"
"2833197","24.99","99","B0BXY4W6NL","ASIN","new","new"
"2833208","39.99","99","B0BXXT6TD3","ASIN","new","new"
"2833209","39.99","99","B0BXXTJNB7","ASIN","new","new"
"2833214","34.99","99","B0CHPFWJ7K","ASIN","new","new"
"2833217","24.99","99","B0BXXS2H5N","ASIN","new","new"
"2833228","24.99","52","B0C1NLV4T5","ASIN","new","new"
"2833229","24.99","33","B0BZHTCWVX","ASIN","new","new"
"2833311","29.99","99","B0BXXZ9Q16","ASIN","new","new"
"2833312","34.99","99","B0BXXVC3LC","ASIN","new","new"
"2833313","34.99","99","B0BXXS6SJN","ASIN","new","new"
"2833315","34.99","99","B0BXXWQNXR","ASIN","new","new"
"2833375","24.99","99","B0CHPG448N","ASIN","new","new"
"2833378","74.989999999999995","99","B0CHPGRY9M","ASIN","new","new"
"2833383","229.99","99","B0CHPGCHL4","ASIN","new","new"
"2833438","29.99","99","B0CHPGY5JR","ASIN","new","new"
"2833439","29.99","99","B0CHPGH373","ASIN","new","new"
"2833440","29.99","99","B0CHPFWBS6","ASIN","new","new"
"2833441","29.99","99","B0CHPGZ79X","ASIN","new","new"
"2833442","29.99","99","B0CHPGTS23","ASIN","new","new"
"2833443","34.99","99","B0CHPFQR8P","ASIN","new","new"
"2833444","34.99","99","B0CHPGV7XQ","ASIN","new","new"
"2833446","34.99","99","B0CHPFHSL2","ASIN","new","new"
"2860740","54.99","99","B08B7Y72JB","ASIN","new","new"
"2860741","29.99","99","B089FLHYPH","ASIN","new","new"
"2860742","24.99","99","B089FKCX27","ASIN","new","new"
"2860743","54.99","99","B08B7Z4ZSD","ASIN","new","new"
"2860754","109.99","99","B089LHW5BD","ASIN","new","new"
"2860768","34.99","86","B089LPMRS4","ASIN","new","new"
"2860770","24.99","99","B089LY5TCS","ASIN","new","new"
"2860903","29.99","99","B08J89R96S","ASIN","new","new"
"2860904","29.99","99","B08J89CGBS","ASIN","new","new"
"2860911","24.99","99","B08J878JM1","ASIN","new","new"
"2860916","99.99","99","B08J87Q1ZB","ASIN","new","new"
"2860969","29.99","99","B08J846R37","ASIN","new","new"
"2861340","29.99","99","B091J1T9GM","ASIN","new","new"
"2861341","34.99","99","B091J36Z9Q","ASIN","new","new"
"2861344","29.99","99","B091J3BRGX","ASIN","new","new"
"2861348","29.99","99","B091J25TX9","ASIN","new","new"
"2861349","24.99","99","B091J3GP17","ASIN","new","new"
"2861355","24.99","99","B091J2XFW7","ASIN","new","new"
"2861689","29.99","99","B09P446FP9","ASIN","new","new"
"2861696","139.99","99","B09HHGTHYB","ASIN","new","new"
"2861697","159.99","99","B09HHJJTWB","ASIN","new","new"
"2861698","24.99","99","B09FTHZ41R","ASIN","new","new"
"2862742","24.99","99","B09VTL6TX3","ASIN","new","new"
"2862744","24.99","99","B09VTHRX53","ASIN","new","new"
"2862793","29.99","99","B09VTHCZ1G","ASIN","new","new"
"2862794","24.99","99","B09VTHCB43","ASIN","new","new"
"2862795","29.99","99","B09VTJY4ZH","ASIN","new","new"
"2862796","59.99","99","B09VTH88QM","ASIN","new","new"
"2862798","129.99","99","B09VTHR7BD","ASIN","new","new"
